Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
2.9;110.2;2021.3;1.67;2.23;0.013;0.009;0.016;0.17;76.0;33.1;15.61;Cuarzo-sericita;Alta pirita
85.3;71.2;1971.1;1.56;4.24;0.014;0.020;0.027;0.17;89.3;26.4;13.30;Cuarzo-sericita;Alta pirita
86.7;142.3;1940.6;0.59;1.20;0.008;0.008;0.173;0.07;53.8;28.9;14.44;Cuarzo-sericita;Alta pirita
97.0;172.9;2003.9;1.15;1.59;0.007;0.008;0.052;0.07;79.6;33.8;17.70;Cuarzo-sericita;Alta pirita
145.3;185.2;2005.6;0.83;1.34;0.007;0.013;0.092;0.13;76.1;30.7;15.43;Cuarzo-sericita;Alta pirita
148.2;90.3;2003.1;2.21;2.23;0.067;0.009;0.022;0.16;85.2;33.4;14.03;Cuarzo-sericita;Alta pirita
148.5;247.9;2048.8;1.15;2.70;0.006;0.010;0.016;0.18;82.2;28.1;17.74;Cuarzo-sericita;Alta pirita
193.9;181.7;1839.6;0.70;1.36;0.007;0.006;0.048;0.01;83.9;29.7;14.59;Cuarzo-sericita;Baja pirita
197.1;165.0;1885.7;0.57;0.93;0.014;0.006;0.045;0.03;78.6;31.5;14.84;Cuarzo-sericita;Baja pirita
198.7;100.2;2043.9;5.22;7.47;0.018;0.131;0.015;0.36;85.1;31.5;14.19;Potásico;Alta pirita
203.5;161.2;1959.8;1.80;0.71;0.021;0.015;0.014;0.10;102.4;41.2;16.31;Cuarzo-sericita;Alta pirita
238.0;169.0;1842.4;1.00;0.99;0.068;0.032;0.051;0.06;72.4;33.7;13.88;Cuarzo-sericita;Baja pirita
240.4;219.2;1949.7;1.23;1.07;0.016;0.009;0.132;0.10;77.6;35.2;14.94;Cuarzo-sericita;Alta pirita
244.5;247.2;1890.8;0.57;1.73;0.004;0.006;0.045;0.02;84.9;27.4;15.30;Cuarzo-sericita;Baja pirita
248.0;273.4;1987.8;2.92;1.94;0.009;0.006;0.016;0.28;82.5;36.8;16.79;Cuarzo-sericita;Alta pirita
271.6;150.5;1956.5;2.78;0.62;0.027;0.015;0.019;0.09;81.7;41.9;16.29;Cuarzo-sericita;Alta pirita
288.0;169.8;1930.8;2.08;0.65;0.056;0.014;0.015;0.11;89.0;41.9;15.88;Cuarzo-sericita;Alta pirita
288.4;213.0;1921.1;2.85;0.67;0.047;0.012;0.013;0.12;92.2;42.9;17.29;Cuarzo-sericita;Alta pirita
298.1;281.9;1865.6;0.64;2.16;0.004;0.013;0.060;0.03;79.1;26.3;14.56;Cuarzo-sericita;Baja pirita
306.2;208.7;1881.0;2.22;0.52;0.099;0.012;0.008;0.09;91.8;42.7;16.33;Potásico;Alta pirita
318.3;179.8;1687.9;0.70;1.40;0.011;0.006;0.053;0.06;67.2;29.5;16.29;Cuarzo-sericita;Baja pirita
355.7;260.7;1891.4;0.56;1.05;0.006;0.003;0.071;0.01;73.0;31.3;13.81;Cuarzo-sericita;Baja pirita
390.4;152.0;1180.8;0.50;0.73;0.057;0.027;0.031;0.01;86.3;31.7;16.94;Potásico;Baja pirita
397.2;264.0;1820.2;0.59;1.08;0.009;0.006;0.042;0.02;79.8;30.1;14.25;Cuarzo-sericita;Baja pirita
399.9;117.4;1830.6;0.52;5.28;0.004;0.029;0.026;0.07;83.9;22.4;15.56;Cuarzo-sericita;Alta pirita
443.5;269.7;1743.2;0.52;0.89;0.046;0.005;0.035;0.01;87.8;31.4;13.53;Potásico;Baja pirita
444.4;92.7;1419.6;1.12;1.11;0.061;0.020;0.009;0.03;90.6;33.4;14.31;Potásico;Alta pirita
448.0;251.3;1811.3;0.94;0.98;0.018;0.015;0.074;0.10;76.8;32.9;14.69;Cuarzo-sericita;Baja pirita
470.2;168.8;1661.8;1.44;1.19;0.071;0.033;0.052;0.07;82.8;34.8;16.30;Potásico;Alta pirita
470.2;168.8;1772.8;1.10;2.36;0.094;0.058;0.036;0.07;85.7;27.4;13.64;Cuarzo-sericita;Alta pirita
470.2;168.8;1723.3;0.84;2.49;0.012;0.077;0.022;0.06;88.8;26.6;16.39;Potásico;Alta pirita
472.5;252.3;1672.7;0.68;1.05;0.006;0.003;0.026;0.01;80.4;32.2;15.47;Potásico;Baja pirita
475.4;211.8;1531.4;0.81;1.02;0.088;0.013;0.015;0.04;89.1;33.0;16.62;Potásico;Baja pirita
482.1;134.7;1250.9;0.60;1.16;0.063;0.228;0.103;0.01;91.4;29.6;14.41;Cuarzo-sericita;Alta pirita
485.8;93.1;1097.5;0.58;1.01;0.068;0.151;0.072;0.01;91.6;30.3;14.66;Potásico;Alta pirita
488.0;56.2;966.1;0.47;1.10;0.017;0.003;0.005;0.01;91.0;28.2;15.92;Cuarzo-sericita;Alta pirita
496.8;228.3;1789.5;0.63;0.79;0.042;0.003;0.079;0.06;84.3;32.7;13.47;Potásico;Baja pirita
501.6;302.2;1797.3;0.71;1.74;0.006;0.003;0.035;0.03;86.0;28.7;13.41;Potásico;Baja pirita
501.7;137.4;1650.9;1.36;2.41;0.024;0.013;0.016;0.04;90.4;28.6;16.26;Potásico;Alta pirita
539.5;233.5;1766.2;0.71;1.10;0.038;0.006;0.058;0.03;81.7;31.5;13.61;Cuarzo-sericita;Baja pirita
546.5;106.9;1657.2;0.58;4.05;0.004;0.029;0.014;0.03;88.7;23.5;16.62;Cuarzo-sericita;Alta pirita
547.2;157.8;1752.5;1.10;1.90;0.024;0.089;0.039;0.05;91.1;29.0;16.07;Cuarzo-sericita;Alta pirita
548.6;174.4;1624.7;0.77;2.00;0.038;0.048;0.014;0.03;92.0;27.0;15.18;Potásico;Alta pirita
548.9;201.1;1785.9;1.31;3.73;0.055;0.009;0.019;0.04;93.4;26.2;15.48;Cuarzo-sericita;Alta pirita
549.1;156.3;1531.9;1.00;1.85;0.048;0.233;0.028;0.04;86.9;30.3;14.91;Cuarzo-sericita;Alta pirita
585.5;262.0;1468.1;0.95;1.02;0.005;0.004;0.017;0.02;88.3;33.1;15.14;Cuarzo-sericita;Baja pirita
589.3;237.1;1430.8;0.52;0.53;0.089;0.007;0.020;0.02;86.2;33.7;16.60;Potásico;Baja pirita
594.8;224.1;1607.9;0.53;0.67;0.007;0.003;0.023;0.02;87.5;32.5;14.67;Potásico;Baja pirita
596.2;204.7;1655.0;1.40;1.50;0.072;0.021;0.040;0.04;91.7;32.3;15.60;Potásico;Alta pirita
596.3;337.0;1779.1;0.82;1.16;0.005;0.003;0.050;0.03;83.0;32.5;14.54;Cuarzo-sericita;Baja pirita
597.2;175.5;1724.1;1.25;1.28;0.067;0.329;0.058;0.04;93.1;32.2;14.48;Potásico;Alta pirita
597.9;137.7;1601.8;1.13;3.38;0.036;0.046;0.025;0.06;89.4;26.5;17.04;Potásico;Alta pirita
597.9;137.7;1526.8;0.74;1.54;0.097;0.245;0.030;0.03;91.5;29.2;14.44;Cuarzo-sericita;Alta pirita
598.1;166.9;1326.5;2.00;4.49;0.152;0.649;0.081;0.04;91.2;28.2;13.19;Cuarzo-sericita;Alta pirita
605.5;311.3;1652.4;1.86;2.10;0.008;0.011;0.040;0.05;82.2;32.4;15.06;Cuarzo-sericita;Baja pirita
605.9;260.9;1742.8;0.73;0.82;0.144;0.009;0.101;0.03;77.4;33.8;13.46;Cuarzo-sericita;Baja pirita
608.6;96.7;1220.6;0.69;0.43;0.119;0.235;0.035;0.02;94.0;38.6;13.62;Cuarzo-sericita;Alta pirita
619.8;34.6;1125.7;0.77;0.63;0.170;0.196;0.054;0.04;89.7;38.2;12.83;Potásico;Alta pirita
626.6;1.0;1072.9;0.85;0.48;0.120;0.212;0.036;0.04;92.2;39.1;11.72;Cuarzo-sericita;Alta pirita
628.4;382.7;1736.4;0.84;2.24;0.008;0.008;0.035;0.04;85.1;28.6;16.27;Potásico;Alta pirita
637.4;150.3;966.2;0.66;2.13;0.035;0.031;0.008;0.02;90.6;26.4;15.10;Cuarzo-sericita;Alta pirita
640.0;275.9;1638.2;0.88;1.32;0.009;0.003;0.014;0.02;84.3;31.7;15.44;Cuarzo-sericita;Baja pirita
641.9;341.6;1627.5;0.58;1.53;0.006;0.005;0.014;0.01;87.9;30.1;16.31;Potásico;Baja pirita
646.1;205.4;1742.5;0.86;2.45;0.127;0.006;0.073;0.06;72.5;26.8;16.12;Potásico;Alta pirita
646.1;273.6;1699.3;0.68;0.74;0.004;0.006;0.054;0.03;84.0;33.3;15.38;Potásico;Baja pirita
647.9;172.8;1755.2;1.53;1.26;0.075;0.021;0.023;0.05;88.0;34.2;10.91;Potásico;Alta pirita
648.0;180.0;1650.6;0.62;1.20;0.114;0.254;0.016;0.03;88.9;29.1;14.44;Potásico;Alta pirita
649.0;139.5;1662.0;0.56;4.73;0.005;0.051;0.024;0.05;90.6;23.0;16.33;Cuarzo-sericita;Alta pirita
650.7;139.8;1025.3;0.78;1.55;0.031;0.054;0.014;0.01;88.6;28.3;14.54;Cuarzo-sericita;Alta pirita
689.9;109.2;1228.3;0.56;0.42;0.124;0.202;0.033;0.02;92.9;37.3;12.08;Cuarzo-sericita;Alta pirita
690.2;283.1;1593.9;0.70;1.16;0.008;0.003;0.011;0.02;85.8;33.0;16.73;Potásico;Baja pirita
690.8;305.5;1287.5;0.40;1.06;0.004;0.003;0.006;0.01;88.3;30.5;15.93;Potásico;Baja pirita
693.0;261.2;1649.7;0.63;1.09;0.043;0.003;0.032;0.02;79.4;29.2;12.61;Cuarzo-sericita;Alta pirita
698.6;164.3;1728.3;1.48;1.01;0.050;0.527;0.017;0.03;89.5;34.9;12.03;Potásico;Alta pirita
702.2;271.1;1353.2;0.94;0.97;0.008;0.067;0.044;0.01;86.0;32.7;16.02;Potásico;Baja pirita
703.1;98.8;1300.8;1.84;0.48;0.124;0.214;0.132;0.04;87.7;39.4;13.94;Potásico;Alta pirita
712.9;196.4;1657.9;1.11;1.26;0.109;0.020;0.048;0.06;89.4;32.4;14.66;Cuarzo-sericita;Alta pirita
720.6;218.6;1456.1;0.65;0.64;0.030;0.062;0.018;0.02;80.6;33.6;15.60;Cuarzo-sericita;Baja pirita
735.4;177.0;1537.9;0.44;0.94;0.127;0.236;0.020;0.02;94.2;29.8;12.57;Cuarzo-sericita;Alta pirita
742.4;320.0;1676.2;0.65;0.87;0.068;0.006;0.020;0.01;84.8;31.8;15.39;Potásico;Baja pirita
742.9;156.8;1577.4;0.49;4.98;0.014;0.009;0.014;0.04;87.0;22.4;15.80;Cuarzo-sericita;Alta pirita
746.6;177.4;1619.6;0.71;1.11;0.060;0.236;0.048;0.03;70.0;29.6;13.80;Cuarzo-sericita;Alta pirita
746.7;253.7;1620.7;0.72;1.29;0.004;0.006;0.005;0.01;86.8;32.4;15.84;Cuarzo-sericita;Baja pirita
746.9;188.4;1689.2;1.53;1.49;0.351;0.285;0.014;0.07;88.6;32.4;13.25;Cuarzo-sericita;Alta pirita
749.8;140.4;1707.4;1.18;0.98;0.049;0.406;0.012;0.04;91.8;34.0;13.02;Cuarzo-sericita;Alta pirita
758.5;104.9;1765.3;0.64;1.33;0.079;0.222;0.011;0.04;87.3;28.3;12.89;Cuarzo-sericita;Alta pirita
791.1;216.3;1607.1;1.50;1.60;0.091;0.015;0.047;0.05;91.7;32.8;15.36;Cuarzo-sericita;Alta pirita
792.8;215.7;1676.1;1.91;2.71;0.126;0.010;0.068;0.08;89.7;32.1;16.52;Cuarzo-sericita;Alta pirita
796.3;117.3;1671.5;0.78;1.02;0.101;0.263;0.014;0.03;89.7;31.6;13.09;Cuarzo-sericita;Alta pirita
797.8;141.3;1669.8;0.63;2.45;0.098;0.151;0.015;0.07;90.5;25.6;11.91;Cuarzo-sericita;Alta pirita
802.3;274.5;1612.2;0.59;1.01;0.032;0.006;0.015;0.02;77.5;31.4;17.16;Cuarzo-sericita;Baja pirita
834.9;402.7;1653.1;0.47;1.87;0.004;0.006;0.010;0.01;87.6;27.0;17.95;Potásico;Baja pirita
839.7;344.7;1603.2;0.63;1.93;0.004;0.006;0.002;0.01;88.9;27.2;16.86;Potásico;Baja pirita
840.2;101.7;1681.3;0.85;1.40;0.119;0.199;0.020;0.03;93.8;30.4;13.87;Cuarzo-sericita;Alta pirita
845.5;129.7;1622.4;0.64;1.22;0.122;0.211;0.010;0.02;90.3;28.9;14.02;Cuarzo-sericita;Alta pirita
847.6;244.8;1619.6;0.74;1.22;0.029;0.006;0.016;0.01;87.9;30.4;15.78;Potásico;Baja pirita
852.0;184.2;1691.5;1.72;2.38;0.046;0.124;0.019;0.14;90.4;30.7;12.80;Cuarzo-sericita;Alta pirita
853.1;187.7;1616.6;0.79;1.69;0.045;0.052;0.021;0.04;92.8;28.3;16.91;Cuarzo-sericita;Alta pirita
853.6;193.7;1502.8;0.69;0.73;0.092;0.230;0.060;0.02;86.2;32.2;13.62;Potásico;Alta pirita
854.5;198.4;1409.9;0.40;0.47;0.130;0.134;0.016;0.04;83.5;33.9;13.60;Potásico;Alta pirita
880.8;151.6;1017.8;0.40;0.94;0.150;0.127;0.035;0.02;88.7;29.4;13.58;Potásico;Alta pirita
884.5;158.0;1187.1;0.64;0.80;0.047;0.130;0.046;0.03;88.9;32.8;13.65;Potásico;Alta pirita
888.0;164.8;1306.9;0.61;0.57;0.118;0.169;0.022;0.03;88.2;34.7;13.20;Cuarzo-sericita;Alta pirita
891.2;312.4;1495.9;0.94;1.06;0.003;0.008;0.026;0.01;86.1;32.8;17.50;Cuarzo-sericita;Alta pirita
891.4;104.5;1621.5;0.51;1.14;0.126;0.153;0.049;0.03;89.0;29.5;14.31;Potásico;Alta pirita
893.0;292.0;1552.3;0.57;0.68;0.026;0.006;0.015;0.01;87.9;32.6;17.37;Potásico;Baja pirita
895.3;184.3;1594.1;0.72;2.38;0.104;0.104;0.027;0.03;90.1;25.4;15.56;Cuarzo-sericita;Alta pirita
897.8;130.9;1614.3;0.54;0.81;0.130;0.187;0.013;0.02;85.6;31.3;12.98;Potásico;Alta pirita
900.3;250.8;1613.7;0.70;1.16;0.064;0.006;0.028;0.03;83.6;30.1;16.07;Cuarzo-sericita;Baja pirita
902.1;223.1;1565.6;1.02;1.64;0.065;0.035;0.043;0.08;85.6;30.5;15.07;Cuarzo-sericita;Alta pirita
904.6;186.7;1502.7;0.40;1.18;0.079;0.146;0.029;0.02;79.9;26.7;13.57;Cuarzo-sericita;Alta pirita
908.7;132.1;1411.4;1.92;0.59;0.072;0.023;0.264;0.04;88.4;39.9;14.41;Potásico;Alta pirita
911.7;102.8;1734.6;0.70;2.24;0.027;0.072;0.047;0.07;88.2;25.6;16.35;Cuarzo-sericita;Alta pirita
912.9;70.2;1305.2;1.46;1.35;0.023;0.029;0.162;0.05;89.0;32.4;14.63;Cuarzo-sericita;Alta pirita
